"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000082929",9.90613080672509,2.86856093612965,0.338265370124111,8.48020870441796,2.24790349047104e-17,3.11334633430239e-16
"ENSG00000093100",4.04625145871404,0.202048054065391,0.215735892720765,0.936552798504001,0.348988641560517,0.411098676216301
"ENSG00000116652",13.4344434006594,0.420265530189274,0.182605562951669,2.30149357662509,0.021363748045209,0.0340590400490526
"ENSG00000122043",1.76693507233534,1.08971738325814,0.293192637811173,3.71672833053863,0.000201819251007895,0.00047862955932523
"ENSG00000122548",4.18230433473491,-0.978072841883925,0.256851796546327,-3.80792680851471,0.000140136734067858,0.000340956305110202
"ENSG00000124915",3.42114042857081,0.999525608893664,0.393798226130532,2.53816686457687,0.0111434838457539,0.0189022965417871
"ENSG00000125804",10.2190053570822,-0.465140423481383,0.238965732512644,-1.94647332314382,0.0515979093796752,0.0755623626654509
"ENSG00000125899",1.17279438797195,-0.908849319323675,0.25058802502309,-3.62686652420813,0.000286881493831202,0.000665267256519405
"ENSG00000128254",13.5105664741891,-0.203676274337103,0.119225490737764,-1.70832825326832,0.0875754516954954,0.122455326197134
"ENSG00000130600",1500.96177966243,2.01483475131511,0.316176344945563,6.37250314112527,1.85967609600814e-10,1.11620862100597e-09
"ENSG00000131484",1.04048028368884,0.937100997789394,0.344615549029627,2.71926499088069,0.00654271692141158,0.0116511256009708
"ENSG00000132204",23.6705035345586,2.89272117635019,0.443004167246198,6.52978321701106,6.5864953184592e-11,4.21840278199584e-10
"ENSG00000136315",2.05616895233186,-0.044412584781254,0.270041252948272,-0.164465926210769,0.869364368407527,0.891573232317234
"ENSG00000145063",9.98228801726756,1.87367305063022,0.222437359585537,8.4233739067996,3.65794732325345e-17,4.90678648203973e-16
"ENSG00000146521",40.168962370247,-0.183848157434638,0.153987601017243,-1.19391532967678,0.232511090339617,0.288555430215385
"ENSG00000149656",1.13134517788904,-0.101273863678163,0.340065556998136,-0.297806883390775,0.765850560621634,0.801437874167709
"ENSG00000151303",1.43269995144066,-1.4460333506144,0.24691021524758,-5.85651488402149,4.72681244223687e-09,2.33183801691828e-08
"ENSG00000152931",31.8460345950504,1.62998937121706,0.382869611929966,4.25729627117864,2.06914070234149e-05,5.83360788344624e-05
"ENSG00000153363",627.698210148054,0.947956413867675,0.109004532016643,8.69648624997481,3.42319124056818e-18,5.3723737883138e-17
"ENSG00000157306",27.088878640792,0.417620838968656,0.124134731106845,3.36425459051587,0.000767507078144251,0.00163979530000739
"ENSG00000162947",0.753192052084469,0.0424709634993093,0.481251845883021,0.0882510142301518,0.929677171956599,0.9441604386303
"ENSG00000163364",95.2745829555965,1.83864650234126,0.267589258466672,6.87115212649787,6.36854332886312e-12,4.55836305450926e-11
"ENSG00000163597",1115.66798866713,0.319219795102047,0.101840421320245,3.13450976501987,0.00172141524397582,0.00346786925513674
"ENSG00000164385",4.57781039308749,1.86701084784648,0.288148197352964,6.47934245293753,9.21232017438252e-11,5.74086094106627e-10
"ENSG00000166770",238.190378651448,-0.164551453331414,0.168527213127787,-0.976408796403943,0.328861924135648,0.389793551500105
"ENSG00000167117",4.72203308529134,3.65696628451071,0.48625646459171,7.52065329883339,5.45032047566603e-14,5.04086401255256e-13
"ENSG00000167355",6.3941864594767,1.34512941692655,0.373839459171205,3.59814723654019,0.000320492176710014,0.000737038878776868
"ENSG00000170161",17.3079444012433,-0.409292191655119,0.112493808059899,-3.63835306772784,0.000274387097770219,0.000638967852730986
"ENSG00000170846",804.171823177418,0.240579376111038,0.0933732144390123,2.57653522540102,0.00997960365384391,0.017111421925811
"ENSG00000170919",341.701044485695,-0.00144803042530325,0.0702989670306662,-0.0205981750012284,0.983566196296244,0.987308702207138
"ENSG00000171889",54.7865216531095,3.526240654514,0.367253759998048,9.6016461602265,7.86776617393772e-22,1.86271045314594e-20
"ENSG00000172250",2.5960828089393,0.442383483013028,0.247707705840108,1.78590924942231,0.0741139531250119,0.104983712685391
"ENSG00000172965",649.320251800619,0.682998916224334,0.10877606773631,6.27894472045107,3.40878754867144e-10,1.96920573718871e-09
"ENSG00000173862",3.83337367578858,-0.394522714552331,0.214148136827937,-1.84228880249059,0.0654329167999209,0.0936446290549113
"ENSG00000174365",397.204819856733,0.500028471940316,0.0853954604336023,5.85544558693614,4.75732765426424e-09,2.34271957374435e-08
"ENSG00000175061",9033.37633291961,0.337939021821607,0.150394251709644,2.24702086668872,0.0246386935736091,0.0387339280356966
"ENSG00000175611",121.476397936718,-0.381837055653551,0.0912629083199663,-4.18392381617772,2.86520165149818e-05,7.84637525916952e-05
"ENSG00000175728",2.5841542429192,2.59646843079275,0.487501284306982,5.32607505738947,1.00357674448302e-07,4.08809938561465e-07
"ENSG00000175746",9.90763251815491,1.7245852147021,0.275510804522104,6.25959195209613,3.85986090555606e-10,2.19770086503397e-09
"ENSG00000175772",83.7811963440207,1.13420077476669,0.144836836444558,7.83088613787038,4.8444325980051e-15,5.04476627686998e-14
"ENSG00000175773",23.7842766967876,0.0692524700047685,0.119540061348169,0.579324363930732,0.5623703289099,0.617548388931784
"ENSG00000176320",3.48490880173216,0.735673968750022,0.29027430762478,2.53440952032511,0.0112637011070169,0.0190770113521472
"ENSG00000176515",0.732673205678006,0.7093205561875,0.501252365317629,1.41509667637782,0.157040152559306,0.205722971193794
"ENSG00000176593",185.925830843772,-0.035802984368842,0.10156061030712,-0.352528251460617,0.724442135005875,0.764604577620985
