"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000082929",7.56776249410469,2.23511798585448,0.298770693078488,7.48104830103701,7.3732071167976e-14,4.31118410009695e-13
"ENSG00000093100",8.5937293442353,1.13071871445219,0.207211671161007,5.45682928049744,4.84711973517605e-08,1.52680278972926e-07
"ENSG00000115934",0.381055123684086,1.4108131078978,0.782690739870364,1.80251667233404,0.0714641540033359,0.0971831169661296
"ENSG00000116652",11.429946611186,0.0622045909214645,0.157733860562986,0.39436422020892,0.693312155915449,0.733192943645099
"ENSG00000122043",1.49758634018079,-0.055592607612831,0.289675775717396,-0.191913208742268,0.847810190682324,0.869953354875458
"ENSG00000122548",3.02225945128664,-1.82701581103833,0.350933253112069,-5.20616326562499,1.92785042539494e-07,5.7030170397449e-07
"ENSG00000124915",0.979402588687169,-0.895581160611157,0.338432881873963,-2.64625929860055,0.00813874035041467,0.0130987134259199
"ENSG00000125804",13.8630300423586,0.0361977048090792,0.27274265826807,0.132717430558669,0.894416857221602,0.908674299153934
"ENSG00000125899",2.71716744603147,0.422297081384601,0.285358566966539,1.479882261373,0.138904670383312,0.177885794585182
"ENSG00000128254",22.4071005365295,0.0624985119046724,0.134492353039399,0.464699371319377,0.642146758641525,0.684383836411704
"ENSG00000130600",3430.39691704114,2.64230259977473,0.341620929433872,7.7346039780218,1.03725475566041e-14,6.54531713802873e-14
"ENSG00000131484",1.11941694935804,0.682388445835639,0.313457485868386,2.17697288021432,0.029482590957679,0.0431428949713585
"ENSG00000132204",112.363446198187,3.87998406690277,0.355856663700031,10.903221613333,1.11247272378663e-27,1.92203118784341e-26
"ENSG00000136315",2.26596279413829,-0.667167660269671,0.258542412530751,-2.58049599575976,0.00986585004504462,0.0156413808342664
"ENSG00000145063",6.9766763981105,0.937389053831072,0.227491530126361,4.1205448541772,3.77977469484125e-05,8.49893675014089e-05
"ENSG00000146521",22.136206481693,-1.48107840570723,0.207313981380816,-7.14413179392196,9.05664758389591e-13,4.70551907076331e-12
"ENSG00000151303",1.68662580650543,-1.58582430276298,0.243074525505045,-6.52402508847051,6.84452528998984e-11,2.93863750474414e-10
"ENSG00000152931",134.332069594729,4.02323575686122,0.333555987167485,12.0616505523586,1.68374303192554e-33,4.23594299610741e-32
"ENSG00000153363",448.285602333481,0.308818673816389,0.111750568111915,2.7634640166403,0.00571913979238703,0.00947951468370423
"ENSG00000157306",28.7059835223027,0.454638534933644,0.136002777298912,3.34286213828135,0.000829190832914551,0.00154073165455065
"ENSG00000162947",0.627350978747007,-0.200347202322985,0.414601566917702,-0.483228280617554,0.628933657093317,0.672112262746316
"ENSG00000163364",199.727140158398,2.77129289362176,0.242842349425612,11.4119011785902,3.64670449000054e-30,7.52427948008744e-29
"ENSG00000163597",1653.94616076433,0.591655805308446,0.100515052560086,5.88624081905308,3.95078530011994e-09,1.42436860348762e-08
"ENSG00000164385",8.50612796548241,1.85625101773536,0.227846096315958,8.14695115584191,3.73214340064961e-16,2.70297658410684e-15
"ENSG00000166770",274.535879989693,-0.229617045028531,0.213290083495892,-1.07654815106748,0.281682178376765,0.333208697704501
"ENSG00000167117",1.18404009982484,1.8034062708467,0.459687002655065,3.92311781806004,8.74103781979609e-05,0.00018631955754125
"ENSG00000167355",14.4449698844094,2.31861525901497,0.419177712131082,5.53134193902446,3.17790144996271e-08,1.02328587507529e-07
"ENSG00000168367",0.662141193314921,1.31816010247128,0.703893807026413,1.87266898687434,0.0611141084823284,0.0842467018155817
"ENSG00000170161",22.4784480835614,-0.176574822238999,0.119318642078027,-1.47985946842682,0.138910754313316,0.177885794585182
"ENSG00000170846",800.418554759799,0.116657474705639,0.0855046788172474,1.36434024803457,0.172460504167738,0.215754297035146
"ENSG00000170919",357.967989739131,-0.175536243117123,0.0898737995638318,-1.95314144910999,0.0508028366841594,0.0712481836724543
"ENSG00000171889",108.882663564018,4.17794848421264,0.36224744202057,11.5334105905857,8.95253859749707e-31,1.93780231680163e-29
"ENSG00000172250",3.85366995538256,0.392879671960803,0.233632140459029,1.68161654123826,0.0926432209647266,0.122924245998999
"ENSG00000172965",823.639109271321,0.469819333253335,0.111324770848672,4.22025870497391,2.44022121903308e-05,5.60557024924859e-05
"ENSG00000173862",2.64831112938505,-1.2552644655051,0.219682160732611,-5.71400272702599,1.10349228683508e-08,3.77212858002743e-08
"ENSG00000174365",558.166452939877,0.817084929503845,0.0778306361948458,10.4982429728354,8.80028600726599e-26,1.37543434707569e-24
"ENSG00000175061",10329.7963172684,0.372169239646707,0.131414612524678,2.83202326207687,0.0046254483516294,0.00778737063250549
"ENSG00000175611",172.742895502038,-0.171279405801971,0.0979360201061014,-1.74889081276135,0.0803098949673047,0.108237208066837
"ENSG00000175728",2.66018533380014,2.75910160456047,0.505893846909103,5.45391413913799,4.9273000185522e-08,1.55035616601291e-07
"ENSG00000175746",4.47302632008237,-0.337485418783343,0.263150658223075,-1.28247985797266,0.1996743662357,0.245884964518673
"ENSG00000175772",50.448941375852,0.142924455767908,0.137173409647867,1.04192537121301,0.297446280267849,0.349764629687656
"ENSG00000175773",17.5008369002466,-0.535904421359952,0.136138544348923,-3.93646357776845,8.26911637535093e-05,0.000176720013148334
"ENSG00000176320",1.98928032955931,-0.458397224203944,0.300369716193885,-1.52610998875817,0.126982474853584,0.163715773378323
"ENSG00000176515",1.45190641185795,2.06037719510375,0.502518545693371,4.10010180273219,4.12968434563036e-05,9.24224323313919e-05
"ENSG00000176593",210.672086758323,-0.012566338125187,0.131793891400823,-0.0953484110046433,0.924038091357465,0.934629252693779
"ENSG00000176659",58.9800071934143,1.56141107637527,0.266138584979355,5.86690981503636,4.43992007339302e-09,1.59071714809384e-08
"ENSG00000176728",78.672012487612,-0.674318890768757,0.365618205265918,-1.84432525803336,0.0651357526277266,0.0892970069485276
"ENSG00000176753",27.4010108621998,-0.364788157306829,0.143591743701637,-2.54045356580394,0.0110708793245309,0.0174313927547377
"ENSG00000176754",3.98769305255099,2.42702246250138,0.455626607842523,5.32677947408248,9.99694140915421e-08,3.04204010201106e-07
"ENSG00000176840",1.28423897460722,0.361253317022447,0.32089025129237,1.12578464309064,0.260256685922802,0.31055384864847
"ENSG00000176912",30.0123697559199,2.59605982720037,0.18928646974534,13.7149783114082,8.25910832196634e-43,3.43291632860862e-41
"ENSG00000177234",14.7747540583806,3.88513592080011,0.337621905112748,11.5073573780785,1.21133575467476e-30,2.61211349203549e-29
"ENSG00000177335",64.8820567787656,-0.268800636517327,0.1951423625489,-1.37745916881564,0.168370330336878,0.211292429784202
"ENSG00000177338",4.50250877915898,-1.67715423775622,0.321089414245662,-5.22332460475651,1.75738923024957e-07,5.23262681764524e-07
"ENSG00000177369",5.59826211891827,-0.24376975519752,0.171739467229771,-1.41941604413724,0.155777757603179,0.197075698635164
"ENSG00000177725",4.415610038321,-2.6397644676184,0.444310015765741,-5.94126707467741,2.82827390436707e-09,1.03661208405428e-08
"ENSG00000177738",301.6080335242,0.399258362692972,0.117042910841633,3.41121354400691,0.000646744183097563,0.00122352395588642
"ENSG00000177757",8.7082137135499,-0.36354875344685,0.132414331334863,-2.74553932177832,0.0060411527383092,0.009983305130205
"ENSG00000177788",490.575401271038,1.24313090239586,0.137478995812455,9.04233330371215,1.53362650058566e-19,1.47598684687238e-18
"ENSG00000178107",0.660138931837658,1.91944523399626,0.518341401457505,3.70305213629288,0.000213021082534622,0.000429184731091884
"ENSG00000178248",2.0497094421798,0.756569075250295,0.529819523432515,1.42797507790719,0.153299031988504,0.19432557955493
"ENSG00000178412",1.63161018261884,0.468592181483937,0.233475747259268,2.00702722653064,0.0447467640323465,0.0633433954811301
"ENSG00000178440",8.71098833773337,-0.685390609587442,0.14280734917303,-4.79940712824941,1.59136007811841e-06,4.22594509633666e-06
"ENSG00000178722",5.37894954349692,-1.9950928174412,0.254864917898228,-7.82804017867173,4.95533592369717e-15,3.23733563306685e-14
"ENSG00000178977",160.515257666083,-0.31484407084325,0.125963345464394,-2.49948959105922,0.0124372352742724,0.0194492861322863
"ENSG00000179066",129.745733772455,6.39911190643091,0.330906832767533,19.338107505705,2.56725276196891e-83,9.20360115165855e-81
