"gene","pval","survival_direction"
"ENSG00000253390",0.0225688803001106,"High expression = worse survival"
"ENSG00000253394",3.03859409069851e-05,"High expression = worse survival"
"ENSG00000253641",0.0300805743662883,"High expression = worse survival"
"ENSG00000253819",0.000768016536314753,"High expression = worse survival"
"ENSG00000253959",0.0230877752056221,"High expression = better survival"
"ENSG00000254081",0.0373522830253802,"High expression = better survival"
"ENSG00000254166",1.56655789951277e-06,"High expression = worse survival"
"ENSG00000254233",0.0496092679140671,"High expression = better survival"
"ENSG00000254275",0.0141908482216097,"High expression = better survival"
"ENSG00000254290",0.0273564934189579,"High expression = worse survival"
"ENSG00000254438",0.0268451309692157,"High expression = better survival"
"ENSG00000254653",0.0412692471602335,"High expression = better survival"
"ENSG00000254842",0.00132366689033758,"High expression = worse survival"
"ENSG00000255325",5.46764251601051e-05,"High expression = worse survival"
"ENSG00000255364",0.0240039222256705,"High expression = worse survival"
"ENSG00000255433",0.0114442122085179,"High expression = worse survival"
"ENSG00000255474",0.00542311173714083,"High expression = worse survival"
"ENSG00000255689",0.0326045280144206,"High expression = better survival"
"ENSG00000255774",0.00365799360830066,"High expression = worse survival"
"ENSG00000256982",0.0446268089882521,"High expression = worse survival"
"ENSG00000257219",0.0371020693781193,"High expression = better survival"
"ENSG00000257654",0.0272603600683959,"High expression = better survival"
"ENSG00000257746",0.0267774150022035,"High expression = worse survival"
"ENSG00000258285",0.0179737006109461,"High expression = worse survival"
"ENSG00000258474",0.00958774644114946,"High expression = worse survival"
"ENSG00000258526",0.0109430372567313,"High expression = worse survival"
"ENSG00000258592",0.0499138491649369,"High expression = worse survival"
"ENSG00000258620",0.0481936698317986,"High expression = worse survival"
"ENSG00000258667",0.000505693939923058,"High expression = worse survival"
"ENSG00000258943",0.0213348410974128,"High expression = worse survival"
"ENSG00000259518",0.00584181991880384,"High expression = worse survival"
"ENSG00000259590",0.0119232649237714,"High expression = better survival"
"ENSG00000259868",0.0328790468903376,"High expression = worse survival"
"ENSG00000260046",0.0412842513446147,"High expression = better survival"
"ENSG00000260209",0.0456074999798477,"High expression = worse survival"
"ENSG00000260253",0.0101481038325691,"High expression = worse survival"
"ENSG00000260412",8.23882626509453e-05,"High expression = worse survival"
"ENSG00000260433",0.0107040727961627,"High expression = better survival"
"ENSG00000260454",0.0116697778293365,"High expression = worse survival"
"ENSG00000260573",0.00863164393591664,"High expression = worse survival"
"ENSG00000260664",0.00375955469171241,"High expression = worse survival"
"ENSG00000260774",0.0400450206716462,"High expression = better survival"
"ENSG00000260803",0.0184214122667364,"High expression = better survival"
"ENSG00000260877",0.00249728942175453,"High expression = worse survival"
"ENSG00000260941",9.42265039877155e-05,"High expression = worse survival"
"ENSG00000260963",0.00445754084026151,"High expression = worse survival"
"ENSG00000261051",0.00276243827233724,"High expression = worse survival"
